const,country,rated,awards,is_adult
tt0039615,France,,1 win,
tt0039616,United Kingdom,Approved,,
tt0039629,Italy,,1 nomination,
tt0039630,Italy,14,,
tt0039667,United States,Approved,,
tt0039682,Italy,,2 wins & 1 nomination,
tt0039691,Italy,,,
tt0039694,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0039696,Italy,,,
tt0039734,Italy,,,
tt0039737,United States,Approved,,
tt0039739,France,,2 wins & 1 nomination total,
tt0039750,United States,Approved,,
tt0039774,"France, Italy",,,
tt0039781,"France, Italy",,,
tt0039793,Mexico,,9 wins & 3 nominations,
tt0039809,Italy,,,
tt0039826,United States,Approved,,
tt0039853,United States,Approved,,
tt0039854,Italy,,,
tt0039905,Italy,,1 win,
tt0039949,Hungary,,,
tt0039954,Soviet Union,,1 win & 1 nomination,
tt0039994,United States,Approved,,
tt0040002,United States,Approved,,
tt0040075,"Mexico, United States",Approved,,
tt0040090,France,,1 nomination,
tt0040100,Italy,,1 win & 1 nomination,
tt0040114,France,Approved,,
tt0040115,Italy,,,
tt0040149,Italy,,,
tt0040167,United States,Passed,,
tt0040198,Italy,,,
tt0040222,Italy,,,
tt0040223,"France, Italy",,1 win,
tt0040227,Italy,,,
tt0040284,"France, Italy",,2 wins,
tt0040344,Italy,,,
tt0040362,Italy,,,
tt0040371,Austria,,1 nomination,
tt0040382,United States,Approved,,
tt0040389,Italy,,,
tt0040406,Italy,,,
tt0040416,United Kingdom,Approved,Won 4 Oscars. 18 wins & 6 nominations total,
tt0040446,United States,Approved,,
tt0040480,Italy,,,
tt0040500,United States,Approved,,
tt0040522,Italy,,Nominated for 1 Oscar. 18 wins & 1 nomination total,
tt0040533,Italy,Approved,,
tt0040544,Spain,,3 wins,
tt0040568,"Spain, Italy",,2 wins,
tt0040596,United States,Approved,,
tt0040601,Soviet Union,,1 win,
tt0040605,"Italy, United Kingdom",,,
tt0040636,United States,Approved,Won 2 Oscars. 6 wins & 5 nominations total,
tt0040637,Italy,,,
tt0040640,Italy,,,
tt0040643,United States,Approved,,
tt0040695,United States,Approved,,
tt0040719,United States,Approved,,
tt0040720,United States,Approved,1 nomination,
tt0040724,United States,Approved,Nominated for 2 Oscars. 2 wins & 4 nominations total,
tt0040725,United Kingdom,,Won 2 Oscars. 5 wins & 5 nominations total,
tt0040737,Italy,,Nominated for 1 Oscar. 2 nominations total,
tt0040765,"Switzerland, United States",Approved,Won 1 Oscar. 7 wins & 7 nominations total,
tt0040774,Italy,,,
tt0040854,"Philippines, United States",Approved,,
tt0040876,United States,Approved,Nominated for 1 Oscar. 1 win & 1 nomination total,
tt0040946,United States,Approved,,
tt0041088,United States,Approved,1 nomination,
tt0041102,Italy,Approved,,
tt0041117,United States,Approved,,
tt0041119,Italy,,,
tt0041126,Italy,,,
tt0041147,United States,Approved,,
tt0041173,Italy,,,
tt0041179,United States,Approved,,
tt0041181,United States,Approved,,
tt0041182,"Italy, United States",Approved,,
tt0041200,"Italy, France",,,
tt0041207,United States,Approved,,
tt0041210,United States,Approved,,
tt0041214,Italy,,,
tt0041218,United States,,,
tt0041226,Italy,,,
tt0041228,United Kingdom,,,
tt0041232,Italy,,,
tt0041247,United Kingdom,,1 win,
tt0041248,Italy,,5 wins & 1 nomination,
tt0041250,Italy,,,
tt0041260,"United Kingdom, United States",Approved,,
tt0041261,Italy,,,
tt0041268,United States,Approved,1 nomination total,
tt0041289,United States,Approved,,
tt0041307,Italy,,1 win,
tt0041320,Italy,,,
tt0041324,Spain,,,
tt0041344,Italy,,,
tt0041357,Italy,,,
tt0041361,United States,Approved,,
tt0041362,United States,Approved,,
tt0041364,Italy,,,
tt0041365,Italy,,,
tt0041366,Italy,,,
tt0041367,Italy,,,
tt0041385,Italy,,,
tt0041397,Italy,,,
tt0041409,Italy,Approved,,
tt0041430,United States,Approved,,
tt0041437,United States,,,
