Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
2468,tt1053337,2025-03-17,2025-03-17,,"I tre magnifici del karatè","Shi duan gao shou",https://www.imdb.com/title/tt1053337/,Film,6.2,86,1973,"Azione, Drammatico",11,1973-06-09,"Tso Nam Lee",,
2469,tt0188740,2025-03-17,2025-03-17,,"La treccia che uccide","Guai ke",https://www.imdb.com/title/tt0188740/,Film,6.2,88,1973,"Azione, Drammatico",64,1973,"Ban-Yee Yeo",,
2470,tt0068219,2025-03-17,2025-03-17,,"L'Aretino nei suoi ragionamenti sulle cortigiane, le maritate e... i cornuti contenti","L'Aretino nei suoi ragionamenti sulle cortigiane, le maritate e... i cornuti contenti",https://www.imdb.com/title/tt0068219/,Film,3.5,91,1972,"Commedia",19,1972-12-26,"Enrico Bomba",,
2471,tt0178515,2025-03-17,2025-03-17,,"Golia e il cavaliere mascherato","Golia e il cavaliere mascherato",https://www.imdb.com/title/tt0178515/,Film,4.3,85,1963,"Azione, Avventura, Drammatico, Sentimentale",202,1963-11-17,"Piero Pierotti",,
2472,tt0068655,2025-03-17,2025-03-17,,"Alto biondo e... con una scarpa nera","Le grand blond avec une chaussure noire",https://www.imdb.com/title/tt0068655/,Film,7.2,90,1972,"Commedia, Giallo",9704,1972-12-06,"Yves Robert",,
2473,tt0065425,2025-03-17,2025-03-17,,"Arriva Sabata!...","Arriva Sabata!...",https://www.imdb.com/title/tt0065425/,Film,5.4,87,1970,"Commedia, Western",251,1970-09-12,"Tulio Demicheli",,
2474,tt0068343,2025-03-17,2025-03-17,,"Una tomba aperta... una bara vuota","La casa de las muertas vivientes",https://www.imdb.com/title/tt0068343/,Film,5.0,87,1972,"Horror, Giallo, Thriller",340,1972-01-07,"Alfonso Balcázar",,
2475,tt0067113,2025-03-17,2025-03-17,,"Forza 'G'","Forza 'G'",https://www.imdb.com/title/tt0067113/,Film,4.8,102,1972,"Azione, Commedia, Sportivo",53,1972-08-11,"Duccio Tessari",,
2476,tt0063158,2025-03-17,2025-03-17,,"Joe... cercati un posto per morire!","Joe... cercati un posto per morire!",https://www.imdb.com/title/tt0063158/,Film,5.5,89,1968,"Drammatico, Western",545,1968-09-21,"Giuliano Carnimeo",,
2477,tt0072426,2025-03-17,2025-03-17,,"Wang Yu, il violento del karatè","Ying xiong ben se",https://www.imdb.com/title/tt0072426/,Film,6.2,85,1973,"Azione",74,1974,"Shan-Hsi Ting",,
2478,tt0062637,2025-03-17,2025-03-17,,"Ad uno ad uno... spietatamente","Uno a uno, sin piedad",https://www.imdb.com/title/tt0062637/,Film,5.1,89,1968,"Western",180,1968-08-24,"Rafael Romero Marchent",,
2479,tt0070394,2025-03-17,2025-03-17,,"Le mille e una notte all'italiana","Le mille e una notte all'italiana",https://www.imdb.com/title/tt0070394/,Film,5.4,85,1972,"Commedia",17,1972-10-10,"Carlo Infascelli, Antonio Racioppi",,
2480,tt0188269,2025-03-17,2025-03-17,,"La vendetta dei gladiatori","La vendetta dei gladiatori",https://www.imdb.com/title/tt0188269/,Film,4.4,98,1964,"Avventura",66,1964-12-31,"Luigi Capuano",,
2481,tt0068284,2025-03-17,2025-03-17,,"Blacula","Blacula",https://www.imdb.com/title/tt0068284/,Film,5.7,93,1972,"Fantastico, Horror, Sentimentale, Thriller",8303,1973-05-03,"William Crain",,
2482,tt0047229,2025-03-17,2025-03-17,,"La spada di robin hood","The Men of Sherwood Forest",https://www.imdb.com/title/tt0047229/,Film,5.6,77,1954,"Avventura",358,1954-11-17,"Val Guest",,
2483,tt0068237,2025-03-17,2025-03-17,,"7 Desideri di una vergine","Auch Fummeln will gelernt sein",https://www.imdb.com/title/tt0068237/,Film,4.3,81,1972,"Commedia",84,1972-10,"Kurt Nachmann",,
2484,tt0063798,2025-03-17,2025-03-17,,"Un uomo chiamato Volpe Bianca","Weisse Wölfe",https://www.imdb.com/title/tt0063798/,Film,5.8,101,1969,"Drammatico, Storico, Western",307,1969-06-25,"Konrad Petzold, Bosko Boskovic",,
2485,tt0068505,2025-03-17,2025-03-17,,"1972: Dracula colpisce ancora!","Dracula A.D. 1972",https://www.imdb.com/title/tt0068505/,Film,5.9,96,1972,"Horror",7879,1972-09-28,"Alan Gibson",,
2486,tt0214261,2025-03-17,2025-03-17,,"Un uomo chiamato Dakota","Un uomo chiamato Dakota",https://www.imdb.com/title/tt0214261/,Film,5.8,95,1972,"Western",21,1972-03-05,"Mario Sabatini",,
2487,tt0070778,2025-03-17,2025-03-17,,"Tayang: il terrore della Cina","Tang ren piao ke",https://www.imdb.com/title/tt0070778/,Film,5.4,90,1972,"Azione, Poliziesco, Drammatico",245,1973-04,"Lung Chien",,
2488,tt0199987,2025-03-17,2025-03-17,,"La regina del karaté","Shan dong lao niang",https://www.imdb.com/title/tt0199987/,Film,6.8,90,1973,"Azione, Poliziesco, Drammatico",47,1973-12-28,"Lung Chien",,
2489,tt0209414,2025-03-17,2025-03-17,,"Kung Tze - L'uomo dalle mani d'acciaio","Tie quan zheng ba",https://www.imdb.com/title/tt0209414/,Film,,84,1972,"Avventura, Drammatico",0,1974-09,"Huang Tang",,
2490,tt0053408,2025-03-17,2025-03-17,,"Il vendicatore","Il vendicatore",https://www.imdb.com/title/tt0053408/,Film,5.2,113,1959,"Drammatico",58,1959-02-11,"William Dieterle",,
2491,tt1759650,2025-03-17,2025-03-17,,"Il terrore del Kung-Fu - Andava, ammazzava e ritornava","E bao",https://www.imdb.com/title/tt1759650/,Film,5.2,,1972,"Azione",15,1972,"Joseph Kuo",,
2492,tt0056560,2025-03-17,2025-03-17,,"Tarzan in India","Tarzan Goes to India",https://www.imdb.com/title/tt0056560/,Film,5.3,88,1962,"Azione, Avventura",618,1962-07,"John Guillermin",,
2493,tt0198611,2025-03-17,2025-03-17,,"Una sporca coppia","Si dui tou",https://www.imdb.com/title/tt0198611/,Film,6.7,,1973,"Azione, Drammatico",32,1973-01-01,"Lung Chien",,
2494,tt0069095,2025-03-18,2025-03-18,,"...Più forte ragazzi!","...Più forte ragazzi!",https://www.imdb.com/title/tt0069095/,Film,6.6,120,1972,"Azione, Avventura, Commedia",7894,1972-12-22,"Giuseppe Colizzi",,
2495,tt0195248,2025-03-18,2025-03-18,,"Il sesso della strega","Il sesso della strega",https://www.imdb.com/title/tt0195248/,Film,4.3,95,1973,"Horror, Giallo, Thriller",558,1974-03-20,"Angelo Pannacciò",,
2496,tt0199877,2025-03-18,2025-03-18,,"Sette contro uno","Nu ying xiong fei che duo bao",https://www.imdb.com/title/tt0199877/,Film,5.5,84,1973,"Azione",58,1975,"Cheng Hou",,
2497,tt0068521,2025-03-18,2025-03-18,,"Dieci incredibili giorni","La décade prodigieuse",https://www.imdb.com/title/tt0068521/,Film,6.1,110,1971,"Giallo, Drammatico",1035,1972-05-10,"Claude Chabrol",,
2498,tt0198749,2025-03-18,2025-03-18,,"Metti... che ti rompo il muso","Metti... che ti rompo il muso",https://www.imdb.com/title/tt0198749/,Film,5.9,90,1973,"Azione, Commedia, Poliziesco",20,1973-11-30,"Giuseppe Vari",,
2499,tt0063564,2025-03-18,2025-03-18,,"L'allegro college delle vergini inglesi","School for Sex",https://www.imdb.com/title/tt0063564/,Film,3.8,80,1969,"Commedia",444,1969-04,"Pete Walker",,
2500,tt0069519,2025-03-18,2025-03-18,,"Sesso contro kung-fu","Xue ai",https://www.imdb.com/title/tt0069519/,Film,6.4,95,1972,"Azione, Poliziesco, Drammatico",9,1973,"Fan Ho",,
2501,tt0069908,2025-03-18,2025-03-18,,"Come fu che Masuccio Salernitano, fuggendo con le brache in mano, riuscì a conservarlo sano","Come fu che Masuccio Salernitano, fuggendo con le brache in mano, riuscì a conservarlo sano",https://www.imdb.com/title/tt0069908/,Film,4.0,84,1972,"Commedia",26,1972-11-22,"Silvio Amadio",,
2502,tt0062065,2025-03-18,2025-03-18,,"Odio per odio","Odio per odio",https://www.imdb.com/title/tt0062065/,Film,5.7,97,1967,"Drammatico, Western",185,1967-08-18,"Domenico Paolella",,
2503,tt0067176,2025-03-18,2025-03-18,,"Gli artigli dello squartatore","Hands of the Ripper",https://www.imdb.com/title/tt0067176/,Film,6.2,85,1971,"Horror",3201,1971-10-17,"Peter Sasdy",,
2504,tt0068372,2025-03-18,2025-03-18,,"I kamikaze del karate","Chou lian huan",https://www.imdb.com/title/tt0068372/,Film,6.2,99,1972,"Azione, Drammatico",327,1972-10-12,"Cheh Chang, Hsueh-Li Pao",,
2505,tt0067355,2025-03-18,2025-03-18,,"Lo chiamavano Trinità...","Lo chiamavano Trinità...",https://www.imdb.com/title/tt0067355/,Film,7.4,115,1970,"Commedia, Western",26576,1970-12-22,"Enzo Barboni",,
2506,tt0064816,2025-03-18,2025-03-18,,"La piscina","La piscine",https://www.imdb.com/title/tt0064816/,Film,7.1,122,1969,"Poliziesco, Drammatico, Sentimentale",14954,1969-04-05,"Jacques Deray",,
2507,tt0182293,2025-03-18,2025-03-18,,"Lo ammazzò come un cane... ma lui rideva ancora","Lo ammazzò come un cane... ma lui rideva ancora",https://www.imdb.com/title/tt0182293/,Film,6.1,84,1972,"Drammatico, Western",65,1972-01-02,"Angelo Pannacciò",,
2508,tt0067698,2025-03-18,2025-03-18,,"Sacco e Vanzetti","Sacco e Vanzetti",https://www.imdb.com/title/tt0067698/,Film,7.8,125,1971,"Biografico, Poliziesco, Drammatico",3961,1971-03-16,"Giuliano Montaldo",,
2509,tt0068897,2025-03-18,2025-03-18,,"I magnifici sette cavalcano ancora","The Magnificent Seven Ride!",https://www.imdb.com/title/tt0068897/,Film,5.6,100,1972,"Azione, Drammatico, Western",3684,1972-10-10,"George McCowan",,
2510,tt0060749,2025-03-18,2025-03-18,,"I Nibelunghi","Die Nibelungen, Teil 1 - Siegfried",https://www.imdb.com/title/tt0060749/,Film,6.2,91,1966,"Avventura, Fantastico",704,1966-12-13,"Harald Reinl",,
2511,tt0066907,2025-03-18,2025-03-18,,"Chato","Chato's Land",https://www.imdb.com/title/tt0066907/,Film,6.6,100,1972,"Drammatico, Western",6782,1972-06,"Michael Winner",,
2512,tt0204812,2025-03-18,2025-03-18,,"Gli amici degli amici hanno saputo","Gli amici degli amici hanno saputo",https://www.imdb.com/title/tt0204812/,Film,5.7,105,1973,"Drammatico",10,1973-02-08,"Fulvio Marcolin",,
2513,tt0191127,2025-03-18,2025-03-18,,"I magnifici 4 di Hong Kong","Tou tiao hao han",https://www.imdb.com/title/tt0191127/,Film,6.0,96,1971,"Azione, Drammatico",289,1971-08-07,"Min-Hsiung Wu",,
2514,tt0071880,2025-03-18,2025-03-18,,"Mussolini ultimo atto","Mussolini ultimo atto",https://www.imdb.com/title/tt0071880/,Film,6.6,126,1974,"Biografico, Drammatico, Storico, Guerra",926,1974-03-29,"Carlo Lizzani",,
2515,tt0068617,2025-03-18,2025-03-18,,"E tutto in biglietti di piccolo taglio","Fuzz",https://www.imdb.com/title/tt0068617/,Film,5.5,92,1972,"Azione, Commedia, Poliziesco, Drammatico, Giallo, Thriller",2398,1972-10-12,"Richard A. Colla",,
2516,tt0052275,2025-03-18,2025-03-18,,"Tarzan e lo stregone","Tarzan's Fight for Life",https://www.imdb.com/title/tt0052275/,Film,5.2,86,1958,"Azione, Avventura",583,1958-07,"H. Bruce Humberstone",,
2517,tt0068168,2025-03-18,2025-03-18,,"Rubare alla mafia è un suicidio","Across 110th Street",https://www.imdb.com/title/tt0068168/,Film,7.0,102,1972,"Azione, Poliziesco, Drammatico, Thriller",7667,1973-03-23,"Barry Shear",,
2518,tt0068524,2025-03-18,2025-03-18,,"...E poi lo chiamarono il magnifico","E poi lo chiamarono il magnifico",https://www.imdb.com/title/tt0068524/,Film,6.5,125,1972,"Azione, Commedia, Western",3400,1973-08-23,"Enzo Barboni",,
2519,tt0065842,2025-03-18,2025-03-18,,"L'inafferrabile invincibile Mr. Invisibile","L'inafferrabile invincibile Mr. Invisibile",https://www.imdb.com/title/tt0065842/,Film,4.3,95,1970,"Commedia, Fantastico, Sentimentale, Fantascienza",175,1970-09-17,"Antonio Margheriti",,
2520,tt0070091,2025-03-18,2025-03-18,,"Lo chiamavano Sergente Blu","The Gatling Gun",https://www.imdb.com/title/tt0070091/,Film,4.8,93,1971,"Azione, Drammatico, Western",455,1971-05,"Robert Gordon",,
2521,tt0070951,2025-03-18,2025-03-18,,"Il re della mala","Zinksärge für die Goldjungen",https://www.imdb.com/title/tt0070951/,Film,6.3,87,1973,"Poliziesco, Drammatico",220,1974-07-12,"Jürgen Roland",,
2522,tt0198939,2025-03-18,2025-03-18,,"Pugni, pirati e karatè","Pugni, pirati e karatè",https://www.imdb.com/title/tt0198939/,Film,4.8,84,1973,"Azione, Avventura",29,1973-12-09,"Joe D'Amato",,
2523,tt8403560,2025-03-18,2025-03-18,,"Chen ...e continuò a massacrare a colpi di kung fu","Yi dai hao jie",https://www.imdb.com/title/tt8403560/,Film,,,1973,"Azione, Avventura",0,1973,"Chun-Feng Lin, Se-Chang Tsai",,
2524,tt0066365,2025-03-18,2025-03-18,,"4 bastardi per un posto all'inferno","Shark!",https://www.imdb.com/title/tt0066365/,Film,4.5,92,1969,"Azione, Avventura, Thriller",1306,1973,"Samuel Fuller, Rafael Portillo",,
2525,tt0199763,2025-03-18,2025-03-18,,"La furia del vento giallo","Meng hu xia shan",https://www.imdb.com/title/tt0199763/,Film,4.1,90,1973,"Azione",120,1973-01-26,"See-Yuen Ng",,
2526,tt0068403,2025-03-18,2025-03-18,,"Harlem detectives","Come Back Charleston Blue",https://www.imdb.com/title/tt0068403/,Film,6.4,100,1972,"Azione, Commedia, Poliziesco",379,1973-04-21,"Mark Warren",,
2527,tt0187292,2025-03-18,2025-03-18,,"Il mio corpo con rabbia","Il mio corpo con rabbia",https://www.imdb.com/title/tt0187292/,Film,5.7,80,1972,"Drammatico, Thriller",35,1972-12-01,"Roberto Natale",,
2528,tt0067647,2025-03-18,2025-03-18,,"I racconti di Canterbury","I racconti di Canterbury",https://www.imdb.com/title/tt0067647/,Film,6.3,111,1972,"Commedia, Drammatico, Storico",8731,1972-09-16,"Pier Paolo Pasolini",,
2529,tt0186112,2025-03-18,2025-03-18,,"Il massacratore cinese","Bu gong dai tian",https://www.imdb.com/title/tt0186112/,Film,6.0,93,1975,"Azione, Avventura",10,1975,"Min-Hsiung Wu",,
2530,tt0205430,2025-03-18,2025-03-18,,"Storie scellerate","Storie scellerate",https://www.imdb.com/title/tt0205430/,Film,5.7,93,1973,"Commedia, Poliziesco, Drammatico, Storico, Horror",258,1973-10-12,"Sergio Citti",,
2531,tt0066778,2025-03-18,2025-03-18,,"Un apprezzato professionista di sicuro avvenire","Un apprezzato professionista di sicuro avvenire",https://www.imdb.com/title/tt0066778/,Film,5.5,98,1972,"Drammatico",36,1972-04-25,"Giuseppe De Santis",,
2532,tt0068698,2025-03-18,2025-03-18,,"La morte arriva con la valigia bianca","Hickey & Boggs",https://www.imdb.com/title/tt0068698/,Film,6.3,111,1972,"Poliziesco, Drammatico, Thriller",1533,1973-01,"Robert Culp",,
2533,tt0078910,2025-03-18,2025-03-18,,"I fantastici piccoli supermen","Sheng long huo hu xiao ying xiong",https://www.imdb.com/title/tt0078910/,Film,6.2,101,1974,"Azione, Drammatico",101,1975-12-10,"See-Yuen Ng",,
2534,tt0058533,2025-03-18,2025-03-18,,"Il piacere e l'amore","La ronde",https://www.imdb.com/title/tt0058533/,Film,5.5,110,1964,"Drammatico, Sentimentale",685,1965-09-15,"Roger Vadim",,
2535,tt0063044,2025-03-18,2025-03-18,,"L'ira di Dio","L'ira di Dio",https://www.imdb.com/title/tt0063044/,Film,5.3,96,1968,"Western, Azione, Drammatico",122,1968-08-24,"Alberto Cardone",,
2536,tt0092270,2025-03-18,2025-03-18,,"Cin-Fu l'uomo d'acciaio - Vado li spacco e... torno!","Zhong guo tie ren",https://www.imdb.com/title/tt0092270/,Film,6.2,90,1973,"Azione, Drammatico",60,1974,"Joseph Kuo",,
2537,tt0062825,2025-03-18,2025-03-18,,"Corri uomo corri","Corri uomo corri",https://www.imdb.com/title/tt0062825/,Film,6.8,101,1968,"Avventura, Commedia, Western",2140,1968-08-29,"Sergio Sollima",,
2538,tt0067025,2025-03-18,2025-03-18,,"Massacro di uomini violenti","Quan ji",https://www.imdb.com/title/tt0067025/,Film,6.0,107,1971,"Azione, Drammatico",291,1971-10-01,"Cheh Chang",,
2539,tt0470963,2025-03-18,2025-03-18,,"Kung fu - Furia, violenza e terrore","Xing gui",https://www.imdb.com/title/tt0470963/,Film,7.5,83,1979,"Poliziesco, Drammatico",30,1979-12-12,"Wai-Chuen Yung",,
2540,tt1427286,2025-03-18,2025-03-18,,"La geisha dalle mani d'acciaio","Ren",https://www.imdb.com/title/tt1427286/,Film,6.3,,1972,"Azione, Avventura",17,1972-11-30,"Min-Hsiung Wu",,
2541,tt0069840,2025-03-18,2025-03-18,,"Anonima sequestri","The Candy Snatchers",https://www.imdb.com/title/tt0069840/,Film,6.3,94,1973,"Poliziesco, Thriller",1855,1973-06,"Guerdon Trueblood",,
2542,tt1833120,2025-03-18,2025-03-18,,"La vendetta di Bruce Lee","Yi qi bo yi qi",https://www.imdb.com/title/tt1833120/,Film,5.2,88,1972,"Azione",9,,"Yang Sun",,
2543,tt0064175,2025-03-18,2025-03-18,,"La collina degli stivali","La collina degli stivali",https://www.imdb.com/title/tt0064175/,Film,5.5,100,1969,"Commedia, Western",3952,1969-12-20,"Giuseppe Colizzi",,
2544,tt0068199,2025-03-18,2025-03-18,,"L'amante del demonio","L'amante del demonio",https://www.imdb.com/title/tt0068199/,Film,4.2,80,1972,"Horror",312,1972-01-26,"Paolo Lombardo",,
2545,tt0064902,2025-03-18,2025-03-18,,"Tre gocce di sangue per una rosa","La rose écorchée",https://www.imdb.com/title/tt0064902/,Film,5.7,92,1970,"Horror, Thriller",551,1970-09-25,"Claude Mulot",,
2546,tt0122434,2025-03-18,2025-03-18,,"Ciccio perdona... Io no!","Ciccio perdona... Io no!",https://www.imdb.com/title/tt0122434/,Film,5.8,100,1968,"Commedia, Western",137,1968-09-26,"Marcello Ciorciolini",,
2547,tt0068350,2025-03-18,2025-03-18,,"Il clan dei francesi","Les caïds",https://www.imdb.com/title/tt0068350/,Film,5.7,91,1972,"Poliziesco, Drammatico",121,1972-11-01,"Robert Enrico",,
2548,tt0152367,2025-03-18,2025-03-18,,"Sepolta viva","Sepolta viva",https://www.imdb.com/title/tt0152367/,Film,5.6,107,1973,"Drammatico",82,1973-09-29,"Aldo Lado",,
2549,tt1279492,2025-03-18,2025-03-18,,"Chin Hsiang l'uragano giallo","Shan Dong da jie",https://www.imdb.com/title/tt1279492/,Film,5.2,,1973,"Azione, Avventura",17,1973,"Hung-Chang Wang",,
2550,tt0070047,2025-03-18,2025-03-18,,"L'esorcista","The Exorcist",https://www.imdb.com/title/tt0070047/,Film,8.1,122,1973,"Horror",477175,1974-09-20,"William Friedkin",,
2551,tt0071187,2025-03-18,2025-03-18,,"La badessa di Castro","La badessa di Castro",https://www.imdb.com/title/tt0071187/,Film,5.5,102,1974,"Drammatico, Thriller",88,1974-06-20,"Armando Crispino",,
2552,tt0069221,2025-03-18,2025-03-18,,"El Zorro - La belva del Colorado","Santo contra los jinetes del terror",https://www.imdb.com/title/tt0069221/,Film,5.5,78,1970,"Azione, Poliziesco, Drammatico, Thriller, Western",195,1970-11-12,"René Cardona",,
2553,tt0199824,2025-03-18,2025-03-18,,"La tenaglia cinese","Duo ming quan wang",https://www.imdb.com/title/tt0199824/,Film,5.5,86,1972,"Azione",83,1972-07-07,"Tian-Lin Wang",,
2554,tt0064116,2025-03-18,2025-03-18,,"C'era una volta il West","C'era una volta il West",https://www.imdb.com/title/tt0064116/,Film,8.5,166,1968,"Drammatico, Western",367632,1968-12-21,"Sergio Leone",,
2555,tt0070800,2025-03-18,2025-03-18,,"Cinque dita di violenza","Tian xia di yi quan",https://www.imdb.com/title/tt0070800/,Film,7.1,105,1972,"Azione, Drammatico, Sentimentale",4362,1972-04-28,"Chang-hwa Jeong",,
2556,tt0069547,2025-03-18,2025-03-18,,"Che c'entriamo noi con la rivoluzione?","Che c'entriamo noi con la rivoluzione?",https://www.imdb.com/title/tt0069547/,Film,5.8,103,1972,"Commedia, Western, Avventura",291,1972-12-19,"Sergio Corbucci",,
2557,tt0194268,2025-03-18,2025-03-18,,"La polizia sta a guardare","La polizia sta a guardare",https://www.imdb.com/title/tt0194268/,Film,6.6,95,1973,"Azione, Poliziesco, Thriller",315,1973-11-16,"Roberto Infascelli",,
2558,tt0068416,2025-03-18,2025-03-18,,"Cosa avete fatto a Solange?","Cosa avete fatto a Solange?",https://www.imdb.com/title/tt0068416/,Film,6.9,107,1972,"Horror, Giallo, Thriller",6240,1973-03-01,"Massimo Dallamano",,
2559,tt0122513,2025-03-18,2025-03-18,,"La governante","La governante",https://www.imdb.com/title/tt0122513/,Film,7.2,111,1974,"Commedia, Drammatico, Sentimentale",60,1974-02-01,"Giovanni Grimaldi",,
2560,tt0147374,2025-03-18,2025-03-18,,"Le scomunicate di S. Valentino","Le scomunicate di San Valentino",https://www.imdb.com/title/tt0147374/,Film,4.7,93,1974,"Drammatico, Horror",965,1974-03-26,"Sergio Grieco",,
2561,tt0071208,2025-03-18,2025-03-18,,"Il bestione","Il bestione",https://www.imdb.com/title/tt0071208/,Film,6.7,100,1974,"Commedia, Drammatico",220,1974-11-20,"Sergio Corbucci",,
2562,tt0073804,2025-03-18,2025-03-18,,"Superuomini, superdonne, superbotte","Superuomini, superdonne, superbotte",https://www.imdb.com/title/tt0073804/,Film,4.5,105,1974,"Azione, Avventura, Commedia, Fantastico, Fantascienza",400,1974-04-11,"Alfonso Brescia",,
2563,tt0069884,2025-03-18,2025-03-18,,"Le cinque giornate","Le cinque giornate",https://www.imdb.com/title/tt0069884/,Film,5.8,122,1973,"Commedia, Drammatico, Storico",780,1973-12-20,"Dario Argento",,
2564,tt0068762,2025-03-18,2025-03-18,,"Corvo Rosso non avrai il mio scalpo!","Jeremiah Johnson",https://www.imdb.com/title/tt0068762/,Film,7.6,108,1972,"Avventura, Drammatico, Western",36662,1972-11-10,"Sydney Pollack",,
2565,tt0070355,2025-03-18,2025-03-18,,"Una 44 Magnum per l'ispettore Callaghan","Magnum Force",https://www.imdb.com/title/tt0070355/,Film,7.2,124,1973,"Azione, Poliziesco, Giallo, Thriller",69287,1974-01-11,"Ted Post",,
2566,tt0373986,2025-03-18,2025-03-18,,"Sulle orme di Bruce Lee","Chu zhong",https://www.imdb.com/title/tt0373986/,Film,4.0,74,1978,"Azione, Avventura, Drammatico",15,1978-06-08,"Chi Lo",,
2567,tt0070825,2025-03-18,2025-03-18,,"Quel maledetto colpo al Rio Grande Express","The Train Robbers",https://www.imdb.com/title/tt0070825/,Film,6.4,92,1973,"Azione, Avventura, Western",7108,2016-09-14,"Burt Kennedy",,
2568,tt0062765,2025-03-18,2025-03-18,,"Bullitt","Bullitt",https://www.imdb.com/title/tt0062765/,Film,7.4,114,1968,"Azione, Poliziesco, Thriller",78768,1969-04-05,"Peter Yates",,
2569,tt0196889,2025-03-18,2025-03-18,,"Quelle sporche anime dannate","Quelle sporche anime dannate",https://www.imdb.com/title/tt0196889/,Film,5.1,90,1971,"Azione, Poliziesco, Drammatico, Western",54,1971-11-14,"Luigi Batzella",,
2570,tt0175633,2025-03-18,2025-03-18,,"Furto di sera bel colpo si spera","Furto di sera bel colpo si spera",https://www.imdb.com/title/tt0175633/,Film,5.9,,1973,"Commedia, Poliziesco",38,1973-12-18,"Mariano Laurenti",,
2571,tt0069318,2025-03-18,2025-03-18,,"Quattro farfalle per un assassino","Straight on Till Morning",https://www.imdb.com/title/tt0069318/,Film,5.7,96,1972,"Thriller",1562,1972-07-09,"Peter Collinson",,
2572,tt0068475,2025-03-18,2025-03-18,,"Perché mammà ti manda solo?","Trop jolies pour être honnêtes",https://www.imdb.com/title/tt0068475/,Film,4.7,92,1972,"Commedia",89,1973-06-15,"Richard Balducci",,
2573,tt0070368,2025-03-18,2025-03-18,,"La mano che nutre la morte","La mano che nutre la morte",https://www.imdb.com/title/tt0070368/,Film,5.4,87,1974,"Horror",401,1974-04-29,"Sergio Garrone",,
2574,tt0071824,2025-03-18,2025-03-18,,"È una sporca faccenda, tenente Parker!","McQ",https://www.imdb.com/title/tt0071824/,Film,6.2,111,1974,"Azione, Poliziesco, Drammatico, Giallo, Thriller",6265,1974-07-12,"John Sturges",,
2575,tt0068743,2025-03-18,2025-03-18,,"L'insolente - Il più crudele tra quelli della mala","L'insolent",https://www.imdb.com/title/tt0068743/,Film,5.3,90,1973,"Azione",141,1973-01-25,"Jean-Claude Roy",,
2576,tt0059042,2025-03-18,2025-03-18,,"Clint il solitario","Clint el solitario",https://www.imdb.com/title/tt0059042/,Film,6.1,92,1967,"Drammatico, Western",152,1967-02-02,"Alfonso Balcázar",,
2577,tt0066930,2025-03-18,2025-03-18,,"La mia colt ti cerca... 4 ceri ti attendono","Un colt por cuatro cirios",https://www.imdb.com/title/tt0066930/,Film,4.2,90,1971,"Western",57,1973-11-15,"Ignacio F. Iquino",,
2578,tt1931444,2025-03-18,2025-03-18,,"Kung-fu urlo di morte","Hei jian gui jing tian",https://www.imdb.com/title/tt1931444/,Film,5.7,97,1970,"Azione, Avventura",41,1973-07,"Lung Chien",,
2579,tt0198482,2025-03-18,2025-03-18,,"Il fidanzamento","Il fidanzamento",https://www.imdb.com/title/tt0198482/,Film,5.7,100,1975,"Commedia, Sentimentale",41,1975-02-28,"Giovanni Grimaldi",,
2580,tt0223559,2025-03-18,2025-03-18,,"Jack London - La mia grande avventura","La mia grande avventura",https://www.imdb.com/title/tt0223559/,Mini serie TV,7.9,54,1973,"Avventura",37,1973,,,
2581,tt0164750,2025-03-18,2025-03-18,,"Dal Giappone con furore","Yakuza deka",https://www.imdb.com/title/tt0164750/,Film,5.8,89,1970,"Azione, Poliziesco, Drammatico",325,1970-05-23,"Yukio Noda",,
2582,tt0198708,2025-03-18,2025-03-18,,"Mania","Mania",https://www.imdb.com/title/tt0198708/,Film,5.2,85,1974,"Horror, Giallo, Fantascienza, Thriller",207,1974-08-25,"Renato Polselli",,
2583,tt0072285,2025-03-18,2025-03-18,,"Thriller","Thriller - En grym film",https://www.imdb.com/title/tt0072285/,Film,6.4,104,1973,"Azione, Poliziesco, Drammatico, Horror, Thriller",8989,1974,"Bo Arne Vibenius",,
2584,tt0125747,2025-03-18,2025-03-18,,"Il figlioccio del padrino","Il figlioccio del padrino",https://www.imdb.com/title/tt0125747/,Film,6.2,,1973,"Commedia, Poliziesco",34,1973,"Mariano Laurenti",,
2585,tt0166190,2025-03-18,2025-03-18,,"I figli di nessuno","I figli di nessuno",https://www.imdb.com/title/tt0166190/,Film,,95,1974,"Drammatico",0,1974-01-22,"Bruno Gaburro",,
2586,tt0073712,2025-03-18,2025-03-18,,"Simona","Simona",https://www.imdb.com/title/tt0073712/,Film,4.0,91,1974,"Drammatico",194,1974-02-22,"Patrick Longchamps",,
2587,tt0054044,2025-03-18,2025-03-18,,"Maciste nella valle dei Re","Maciste nella valle dei Re",https://www.imdb.com/title/tt0054044/,Film,5.1,94,1960,"Azione, Avventura, Drammatico, Fantastico, Sentimentale",313,1960-11-24,"Carlo Campogalliani",,
2588,tt0282154,2025-03-18,2025-03-18,,"Servo suo","Servo suo",https://www.imdb.com/title/tt0282154/,Film,5.9,92,1973,"Poliziesco, Thriller",45,1973-09-11,"Romano Scavolini",,
