date,const,title,income,source
1950-06-18,tt0041366,La figlia della Madonna,,Elettrocarbonium 1949-50
1950-06-22,tt0041261,Il conte Ugolino,19100,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-06-29,tt0024852,Nel paese delle meraviglie (villaggio incantato),8000,Incam 1949-50
1950-07-01,tt0032745,Mamma,14500,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-07-05,tt0130261,Sirena,3350,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-07-08,tt0039136,L'urlo,11300,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-07-15,tt0032468,La figlia del corsaro verde,17300,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-07-20,tt0041250,Cintura di castità,12800,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-07-28,tt0042021,Vespro siciliano,14000,Incam 1949-50
1950-08-03,tt0039905,"Tombolo, paradiso nero",8050,Incam 1949-50
1950-08-06,tt0039905,"Tombolo, paradiso nero",,Elettrocarbonium 1949-50
1950-08-13,tt0162292,La spada del venticatore,13500,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-08-16,tt0039397,I fratelli Karamazoff,10700,Incam 1949-50
1950-08-18,tt0134056,Il trionfo di Zorro,3000,Incam 1949-50
1950-08-22,tt0034431,Martin Eden,41000,Incam 1949-50
1950-08-24,tt0038068,Jungla in fiamme,6000,Incam 1949-50
1950-08-30,tt0040149,Il barone Carlo Mazza,4100,Incam 1949-50
1950-09-01,tt0041344,Il falco rosso,25000,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-09-05,tt0034672,La donna è mobile,10000,Incam 1949-50
1950-09-09,tt0041609,Il lupo della Sila,,Elettrocarbonium 1949-50
1950-09-13,tt0032811,Bufera mortale,8000,Incam 1949-50
1950-09-15,tt0039241,Capitan demonio,29200,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-09-22,tt0041200,Botta e risposta,15000,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-09-29,tt0038016,Il ratto delle Sabine (professor trombone),,Incam 1949-50
